idx,q10,q50,q90,last,y_abs,delta_true,enter_long,enter_short,roll_q_high,roll_q_low,side,profit
0,-7.4410653,0.27608785,7.976744,29.0,29.144428,0.14442825,0,0,,,0,0.0
1,-7.5733795,0.20838347,7.8713727,28.0,28.075363,0.07536316,0,0,,,0,0.0
2,-6.385347,-0.011691235,6.299262,28.0,28.230942,0.23094177,0,0,,,0,0.0
3,-5.8868656,-0.06546719,5.6606827,28.0,29.678902,1.6789017,0,0,,,0,0.0
4,-5.75378,-0.26820013,4.8580213,29.0,28.651793,-0.34820747,0,0,,,0,-0.0
5,-6.2510343,-0.22866091,5.5738554,29.0,28.73878,-0.26122093,0,0,,,0,-0.0
6,-7.0853124,-0.2826962,5.920716,29.0,27.923367,-1.0766335,0,0,,,0,-0.0
7,-7.7119865,-0.32060167,6.2754292,28.0,28.135965,0.13596535,0,0,,,0,0.0
8,-7.0101132,-0.31540564,5.9655843,28.0,28.150682,0.15068245,0,0,,,0,0.0
9,-6.055915,-0.3262784,5.2029734,29.0,28.446686,-0.5533142,0,0,,,0,-0.0
10,-6.174377,-0.33245036,4.998889,30.0,28.135883,-1.8641167,0,0,,,0,-0.0
11,-5.9108357,-0.3570058,4.736993,30.0,28.135883,-1.8641167,0,0,,,0,-0.0
12,-6.1708198,-0.32422122,4.943204,30.0,28.69199,-1.3080101,0,0,,,0,-0.0
13,-6.6780987,-0.2893412,5.4998145,30.0,28.74105,-1.2589493,0,0,,,0,-0.0
14,-7.057347,-0.26136777,5.9946895,30.0,30.67087,0.6708698,0,0,,,0,0.0
15,-7.394857,-0.30267993,6.26932,29.0,30.016394,1.0163937,0,0,,,0,0.0
16,-6.6801944,-0.3069976,5.9077816,28.0,29.542383,1.5423832,0,0,,,0,0.0
17,-5.830257,-0.24781555,5.0864706,28.0,29.411428,1.4114285,0,0,,,0,0.0
18,-5.660008,0.0077450536,5.1617384,28.0,29.088541,1.088541,0,0,,,0,0.0
19,-5.566732,0.028246433,5.105164,29.0,29.998936,0.9989357,0,0,,,0,0.0
20,-5.7371416,-0.2926541,4.618209,29.0,29.254686,0.25468636,0,0,,,0,0.0
21,-6.3669524,-0.15407953,5.6993923,29.0,29.302658,0.30265808,0,0,,,0,0.0
22,-5.9613833,-0.097289085,5.6085052,28.0,28.892693,0.89269257,0,0,,,0,0.0
23,-5.892834,-0.100362815,5.4316506,27.0,28.44077,1.4407692,0,0,,,0,0.0
24,-6.5329623,-0.11319236,5.7316628,27.0,28.563248,1.5632477,0,0,,,0,0.0
25,-6.9205303,-0.098953195,6.095027,27.0,28.113058,1.1130581,0,0,,,0,0.0
26,-6.834691,-0.18033063,5.8955264,26.0,27.926868,1.9268684,0,0,,,0,0.0
27,-7.0625057,-0.18353608,5.8857746,25.0,28.201374,3.201374,0,0,,,0,0.0
28,-6.729604,-0.19926661,5.620884,25.0,27.884556,2.8845558,0,0,,,0,0.0
29,-6.8375382,-0.10891821,6.1762285,25.0,27.714931,2.7149315,0,0,,,0,0.0
30,-7.067653,0.097688235,7.0840216,25.0,26.804386,1.8043861,0,0,,,0,0.0
31,-6.8059287,0.13555032,6.7022595,26.0,27.327557,1.3275566,0,0,,,0,0.0
32,-6.4332576,0.07432618,6.2667265,27.0,27.663235,0.6632347,0,0,,,0,0.0
33,-7.07266,0.06758944,6.7598896,28.0,27.148077,-0.851923,0,0,,,0,-0.0
34,-6.575002,0.20829391,6.9025536,28.0,27.040257,-0.9597435,0,0,,,0,-0.0
35,-6.9654036,0.2550754,7.300278,28.0,26.99875,-1.0012493,0,0,,,0,-0.0
36,-6.9837146,0.34405956,7.4917426,28.0,26.905909,-1.0940914,0,0,,,0,-0.0
37,-7.142783,0.41121998,8.000503,28.0,27.167067,-0.8329334,0,0,,,0,-0.0
38,-7.3168607,0.5110189,8.372093,28.0,26.776333,-1.2236671,0,0,,,0,-0.0
39,-6.957464,0.4333776,7.7137003,27.0,26.605154,-0.39484596,0,0,,,0,-0.0
40,-6.5035195,0.31476423,6.8840904,26.0,25.613007,-0.3869934,0,0,,,0,-0.0
41,-6.7807765,0.30850503,7.0390954,27.0,25.969582,-1.0304184,0,0,,,0,-0.0
42,-6.562878,0.32322428,7.0919003,26.0,26.246576,0.24657631,0,0,,,0,0.0
43,-6.770575,0.34451362,7.309864,26.0,26.51279,0.5127907,0,0,,,0,0.0
44,-6.58415,0.3617148,7.1060557,26.0,26.63273,0.6327305,0,0,,,0,0.0
45,-6.8872485,0.37438944,7.64861,25.0,26.961346,1.9613457,0,0,,,0,0.0
46,-7.2544713,0.49937037,8.270065,25.0,26.336746,1.3367462,0,0,,,0,0.0
47,-6.9801917,0.4311385,7.6824865,25.0,26.315659,1.3156586,0,0,,,0,0.0
48,-6.527604,0.3145171,6.896241,26.0,26.437029,0.43702888,0,0,,,0,0.0
49,-6.8043275,0.30791625,7.0598683,26.0,26.308407,0.30840683,0,0,,,0,0.0
50,-6.562319,0.32181117,7.098586,27.0,26.211369,-0.78863144,0,0,,,0,-0.0
51,-6.6726017,0.32848093,7.202272,26.0,26.361841,0.3618412,0,0,,,0,0.0
52,-6.456457,0.33367053,6.8925076,26.0,27.453508,1.4535084,0,0,,,0,0.0
53,-6.789519,0.35621703,7.5099335,27.0,27.376793,0.3767929,0,0,,,0,0.0
54,-7.0741887,0.48110238,8.085538,27.0,27.968569,0.9685688,0,0,,,0,0.0
55,-6.7613564,0.39391682,7.3914156,27.0,28.522943,1.5229435,0,0,,,0,0.0
56,-6.433713,0.29787794,6.7982645,27.0,29.113384,2.1133842,0,0,,,0,0.0
57,-6.6017957,0.28087303,6.8254986,26.0,28.545366,2.5453663,0,0,,,0,0.0
58,-6.5136914,0.31149632,7.044037,27.0,31.247293,4.2472935,0,0,,,0,0.0
59,-6.3469987,0.2885382,6.8201413,27.0,30.34646,3.3464603,0,0,,,0,0.0
60,-6.2448335,0.3013759,6.6177216,27.0,30.258581,3.2585812,0,0,,,0,0.0
61,-6.689095,0.34748387,7.41332,27.0,29.577589,2.577589,0,0,,,0,0.0
