idx,mu,abs_mu,last,y_abs,delta_true,enter,side,profit,q_hist
0,-1.2437108,1.2437108,29.0,29.144428,0.14442825,0,0,-0.0,
1,-1.2054099,1.2054099,28.0,28.075363,0.07536316,0,0,-0.0,
2,-1.1084166,1.1084166,28.0,28.230942,0.23094177,0,0,-0.0,
3,-1.1970667,1.1970667,28.0,29.678902,1.6789017,0,0,-0.0,
4,-1.1740491,1.1740491,29.0,28.651793,-0.34820747,0,0,0.0,
5,-1.2587224,1.2587224,29.0,28.73878,-0.26122093,0,0,0.0,
6,-1.1785628,1.1785628,29.0,27.923367,-1.0766335,0,0,0.0,
7,-1.1511483,1.1511483,28.0,28.135965,0.13596535,0,0,-0.0,
8,-1.2573649,1.2573649,28.0,28.150682,0.15068245,0,0,-0.0,
9,-1.1966971,1.1966971,29.0,28.446686,-0.5533142,0,0,0.0,
10,-1.2366933,1.2366933,30.0,28.135883,-1.8641167,0,0,0.0,
11,-1.1799515,1.1799515,30.0,28.135883,-1.8641167,0,0,0.0,
12,-1.2366592,1.2366592,30.0,28.69199,-1.3080101,0,0,0.0,
13,-1.2255667,1.2255667,30.0,28.74105,-1.2589493,0,0,0.0,
14,-1.1734558,1.1734558,30.0,30.67087,0.6708698,0,0,-0.0,
15,-1.150696,1.150696,29.0,30.016394,1.0163937,0,0,-0.0,
16,-1.2521025,1.2521025,28.0,29.542383,1.5423832,0,0,-0.0,
17,-1.1901454,1.1901454,28.0,29.411428,1.4114285,0,0,-0.0,
18,-1.2119852,1.2119852,28.0,29.088541,1.088541,0,0,-0.0,
19,-1.1585782,1.1585782,29.0,29.998936,0.9989357,0,0,-0.0,
20,-1.1528631,1.1528631,29.0,29.254686,0.25468636,0,0,-0.0,
21,-1.1148655,1.1148655,29.0,29.302658,0.30265808,0,0,-0.0,
22,-1.0820645,1.0820645,28.0,28.892693,0.89269257,0,0,-0.0,
23,-0.9716382,0.9716382,27.0,28.44077,1.4407692,0,0,-0.0,
24,-1.1620388,1.1620388,27.0,28.563248,1.5632477,0,0,-0.0,
25,-1.1242425,1.1242425,27.0,28.113058,1.1130581,0,0,-0.0,
26,-1.0692298,1.0692298,26.0,27.926868,1.9268684,0,0,-0.0,
27,-1.0172827,1.0172827,25.0,28.201374,3.201374,0,0,-0.0,
28,-1.1960328,1.1960328,25.0,27.884556,2.8845558,0,0,-0.0,
29,-0.8190058,0.8190058,25.0,27.714931,2.7149315,0,0,-0.0,
30,-0.4690129,0.4690129,25.0,26.804386,1.8043861,0,0,-0.0,
31,-1.0899578,1.0899578,26.0,27.327557,1.3275566,0,0,-0.0,
32,-1.2098575,1.2098575,27.0,27.663235,0.6632347,0,0,-0.0,
33,-1.164899,1.164899,28.0,27.148077,-0.851923,0,0,0.0,
34,-0.9509236,0.9509236,28.0,27.040257,-0.9597435,0,0,0.0,
35,-0.97536457,0.97536457,28.0,26.99875,-1.0012493,0,0,0.0,
36,-1.2521302,1.2521302,28.0,26.905909,-1.0940914,0,0,0.0,
37,-0.77877164,0.77877164,28.0,27.167067,-0.8329334,0,0,0.0,
38,-0.56735754,0.56735754,28.0,26.776333,-1.2236671,0,0,0.0,
39,-1.1075903,1.1075903,27.0,26.605154,-0.39484596,0,0,0.0,
40,-1.2757857,1.2757857,26.0,25.613007,-0.3869934,0,0,0.0,
41,-1.1891663,1.1891663,27.0,25.969582,-1.0304184,0,0,0.0,
42,-1.0545068,1.0545068,26.0,26.246576,0.24657631,0,0,-0.0,
43,-1.059168,1.059168,26.0,26.51279,0.5127907,0,0,-0.0,
44,-1.2481183,1.2481183,26.0,26.63273,0.6327305,0,0,-0.0,
45,-0.8360238,0.8360238,25.0,26.961346,1.9613457,0,0,-0.0,
46,-0.57051045,0.57051045,25.0,26.336746,1.3367462,0,0,-0.0,
47,-1.1127756,1.1127756,25.0,26.315659,1.3156586,0,0,-0.0,
48,-1.2612063,1.2612063,26.0,26.437029,0.43702888,0,0,-0.0,
49,-1.1317669,1.1317669,26.0,26.308407,0.30840683,0,0,-0.0,
50,-0.99946445,0.99946445,27.0,26.211369,-0.78863144,0,0,0.0,
51,-1.0529419,1.0529419,26.0,26.361841,0.3618412,0,0,-0.0,
52,-1.2709655,1.2709655,26.0,27.453508,1.4535084,0,0,-0.0,
53,-0.84421366,0.84421366,27.0,27.376793,0.3767929,0,0,-0.0,
54,-0.59715116,0.59715116,27.0,27.968569,0.9685688,0,0,-0.0,
55,-1.1220467,1.1220467,27.0,28.522943,1.5229435,0,0,-0.0,
56,-1.2667123,1.2667123,27.0,29.113384,2.1133842,0,0,-0.0,
57,-1.128528,1.128528,26.0,28.545366,2.5453663,0,0,-0.0,
58,-0.9872097,0.9872097,27.0,31.247293,4.2472935,0,0,-0.0,
59,-1.0866177,1.0866177,27.0,30.34646,3.3464603,0,0,-0.0,
60,-1.2682729,1.2682729,27.0,30.258581,3.2585812,0,0,-0.0,
61,-0.90265375,0.90265375,27.0,29.577589,2.577589,0,0,-0.0,
62,-0.62228423,0.62228423,27.0,29.55402,2.55402,0,0,-0.0,
63,-1.2107147,1.2107147,27.0,30.026525,3.0265255,0,0,-0.0,
64,-1.3027076,1.3027076,29.0,30.394932,1.3949318,0,0,-0.0,
65,-1.1450641,1.1450641,29.0,30.163164,1.1631641,0,0,-0.0,
66,-1.0459164,1.0459164,29.0,31.028536,2.0285358,0,0,-0.0,
67,-1.1474217,1.1474217,29.0,31.22401,2.2240105,0,0,-0.0,
68,-0.9546198,0.9546198,29.0,30.674252,1.6742516,0,0,-0.0,
69,-0.84243006,0.84243006,30.0,30.159819,0.15981865,0,0,-0.0,
70,-0.67769414,0.67769414,30.0,30.58097,0.58097076,0,0,-0.0,
71,-0.8750663,0.8750663,30.0,31.433416,1.4334164,0,0,-0.0,
72,-1.018121,1.018121,30.0,32.402134,2.402134,0,0,-0.0,
