idx,mu,abs_mu,last,y_abs,delta_true,enter,side,profit
0,0.21349035,0.21349035,34.0,24.312868,-9.687132,0,0,-0.0
1,0.21297865,0.21297865,35.0,23.55538,-11.44462,0,0,-0.0
2,0.2113948,0.2113948,35.0,24.230028,-10.769972,0,0,-0.0
3,0.21091156,0.21091156,36.0,25.28711,-10.712891,0,0,-0.0
4,0.21112482,0.21112482,37.0,25.561733,-11.438267,0,0,-0.0
5,0.2111343,0.2111343,35.0,24.709488,-10.290512,0,0,-0.0
6,0.21598785,0.21598785,34.0,25.734793,-8.265207,0,0,-0.0
7,0.21157454,0.21157454,32.0,26.326033,-5.6739674,0,0,-0.0
8,0.21198358,0.21198358,31.0,25.918634,-5.0813656,0,0,-0.0
9,0.21184017,0.21184017,30.0,26.07524,-3.9247608,0,0,-0.0
10,0.2103766,0.2103766,30.0,24.943827,-5.0561733,0,0,-0.0
11,0.20948376,0.20948376,30.0,25.523718,-4.476282,0,0,-0.0
12,0.21027534,0.21027534,31.0,24.98014,-6.0198593,0,0,-0.0
13,0.21072365,0.21072365,32.0,25.952679,-6.0473213,0,0,-0.0
14,0.21665482,0.21665482,32.0,26.077507,-5.922493,0,0,-0.0
15,0.2127996,0.2127996,32.0,25.26271,-6.7372894,0,0,-0.0
16,0.21315081,0.21315081,30.0,26.134815,-3.8651848,0,0,-0.0
17,0.21282427,0.21282427,30.0,26.712437,-3.2875633,0,0,-0.0
18,0.2115012,0.2115012,30.0,27.194166,-2.8058338,0,0,-0.0
19,0.21004201,0.21004201,27.0,27.206083,0.2060833,0,0,0.0
20,0.21141584,0.21141584,27.0,26.676123,-0.32387733,0,0,-0.0
21,0.2116157,0.2116157,25.0,27.685543,2.685543,0,0,0.0
22,0.2177668,0.2177668,25.0,27.977758,2.9777584,0,0,0.0
23,0.21331818,0.21331818,25.0,28.704607,3.704607,0,0,0.0
24,0.21468224,0.21468224,26.0,27.747957,1.7479572,0,0,0.0
25,0.21359901,0.21359901,25.0,27.153881,2.153881,0,0,0.0
26,0.21303959,0.21303959,26.0,26.865637,0.8656368,0,0,0.0
27,0.21118824,0.21118824,24.0,27.376305,3.3763046,0,0,0.0
28,0.21260588,0.21260588,25.0,27.438152,2.4381523,0,0,0.0
29,0.2116432,0.2116432,27.0,27.71675,0.7167492,0,0,0.0
30,0.2174521,0.2174521,28.0,28.284159,0.2841587,0,0,0.0
31,0.21243887,0.21243887,28.0,28.14571,0.14570999,0,0,0.0
32,0.21462183,0.21462183,26.0,27.839878,1.8398781,0,0,0.0
33,0.21288125,0.21288125,27.0,28.768724,1.7687244,0,0,0.0
34,0.21331076,0.21331076,27.0,28.602474,1.6024742,0,0,0.0
35,0.21129511,0.21129511,27.0,28.511122,1.5111217,0,0,0.0
36,0.21232592,0.21232592,27.0,28.92079,1.9207897,0,0,0.0
37,0.21117388,0.21117388,26.0,28.170677,2.1706772,0,0,0.0
38,0.21805383,0.21805383,26.0,27.583408,1.5834084,0,0,0.0
39,0.21272595,0.21272595,25.0,27.987404,2.9874039,0,0,0.0
40,0.21456812,0.21456812,25.0,27.349636,2.349636,0,0,0.0
41,0.21213172,0.21213172,24.0,26.509872,2.5098724,0,0,0.0
42,0.21194826,0.21194826,24.0,25.768839,1.7688389,0,0,0.0
43,0.2101991,0.2101991,24.0,26.419088,2.4190884,0,0,0.0
44,0.21070682,0.21070682,23.0,26.11212,3.1121197,0,0,0.0
45,0.20948009,0.20948009,24.0,25.98275,1.9827499,0,0,0.0
46,0.21607386,0.21607386,24.0,26.804358,2.8043575,0,0,0.0
47,0.21114458,0.21114458,24.0,26.303337,2.303337,0,0,0.0
48,0.21315382,0.21315382,24.0,26.581934,2.581934,0,0,0.0
49,0.21141668,0.21141668,25.0,25.858488,0.8584881,0,0,0.0
50,0.21140783,0.21140783,25.0,25.731956,0.7319565,0,0,0.0
51,0.20970066,0.20970066,24.0,26.581934,2.581934,0,0,0.0
52,0.21108396,0.21108396,24.0,28.4192,4.419201,0,0,0.0
53,0.21041574,0.21041574,25.0,27.788244,2.7882442,0,0,0.0
54,0.21584542,0.21584542,26.0,27.64923,1.649229,0,0,0.0
55,0.211013,0.211013,25.0,28.131525,3.131525,0,0,0.0
56,0.21225421,0.21225421,26.0,27.848955,1.8489552,0,0,0.0
57,0.20946802,0.20946802,27.0,27.039265,0.03926468,0,0,0.0
58,0.20993556,0.20993556,27.0,27.088629,0.08862877,0,0,0.0
59,0.20814045,0.20814045,27.0,26.090559,-0.909441,0,0,-0.0
60,0.21024223,0.21024223,26.0,26.323196,0.3231964,0,0,0.0
61,0.20872195,0.20872195,26.0,26.752155,0.7521553,0,0,0.0
62,0.21520136,0.21520136,26.0,25.985588,-0.014411926,0,0,-0.0
63,0.21086846,0.21086846,26.0,25.661598,-0.3384018,0,0,-0.0
64,0.21194278,0.21194278,27.0,24.9739,-2.0261002,0,0,-0.0
65,0.20840196,0.20840196,26.0,23.680208,-2.3197918,0,0,-0.0
66,0.20913209,0.20913209,26.0,22.700294,-3.2997055,0,0,-0.0
67,0.20711453,0.20711453,27.0,23.869722,-3.1302776,0,0,-0.0
68,0.20865135,0.20865135,28.0,22.989105,-5.010895,0,0,-0.0
69,0.20849673,0.20849673,28.0,23.46743,-4.53257,0,0,-0.0
70,0.21319331,0.21319331,27.0,24.282797,-2.7172031,0,0,-0.0
71,0.20923309,0.20923309,28.0,24.765661,-3.2343388,0,0,-0.0
72,0.21121617,0.21121617,28.0,24.619268,-3.3807316,0,0,-0.0
73,0.2083853,0.2083853,29.0,23.60531,-5.3946896,0,0,-0.0
74,0.20995109,0.20995109,29.0,23.260895,-5.739105,0,0,-0.0
75,0.21142383,0.21142383,27.0,21.50811,-5.49189,0,0,-0.0
76,0.21036504,0.21036504,27.0,22.875816,-4.1241837,0,0,-0.0
77,0.20954789,0.20954789,27.0,22.078794,-4.9212055,0,0,-0.0
78,0.21088748,0.21088748,27.0,22.398329,-4.601671,0,0,-0.0
79,0.2119463,0.2119463,27.0,23.971193,-3.0288067,0,0,-0.0
80,0.21257381,0.21257381,28.0,23.56088,-4.4391193,0,0,-0.0
81,0.21178724,0.21178724,28.0,23.683733,-4.316267,0,0,-0.0
82,0.20860009,0.20860009,28.0,22.41588,-5.58412,0,0,-0.0
83,0.21054085,0.21054085,28.0,23.804163,-4.195837,0,0,-0.0
84,0.20922361,0.20922361,28.0,24.357298,-3.642702,0,0,-0.0
85,0.20900507,0.20900507,28.0,24.68107,-3.3189297,0,0,-0.0
86,0.21028496,0.21028496,29.0,24.589083,-4.4109173,0,0,-0.0
87,0.2116959,0.2116959,28.0,23.755144,-4.244856,0,0,-0.0
88,0.21260665,0.21260665,27.0,23.08642,-3.91358,0,0,-0.0
89,0.2111315,0.2111315,28.0,23.361776,-4.6382236,0,0,-0.0
90,0.20934989,0.20934989,27.0,24.253813,-2.7461872,0,0,-0.0
91,0.21168528,0.21168528,26.0,26.76168,0.7616806,0,0,0.0
